Title,Author,Link on the book,Rating of users
Темная империя. Книга вторая,Елена Звездная,https://www.litres.ru/elena-zvezdnaya/temnaya-imperiya-kniga-vtoraya/,"4,6"
Участковый. От кодексов до ритуалов,Галина Дмитриевна Гончарова,https://www.litres.ru/galina-goncharova/uchastkovyy-ot-kodeksov-do-ritualov/,"4,5"
Ведьмы за границей,Терри Пратчетт,https://www.litres.ru/terri-pratchett/vedmy-za-granicey-55739068/,"4,9"
Рубеж атаки,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/rubezh-ataki/,"4,5"
11/22/63,Стивен Кинг,https://www.litres.ru/stiven-king/11-22-63-4986890/,"4,8"
Ведьма для наследников дракона,Ксения Власова,https://www.litres.ru/kseniya-vlasova-17937157/vedma-dlya-naslednikov-drakona/,"4,5"
Золото старых богов,Александр Мазин,https://www.litres.ru/aleksandr-mazin/zoloto-staryh-bogov/,"4,5"
Участковый. От стажера до ведьмы,Галина Дмитриевна Гончарова,https://www.litres.ru/galina-goncharova/uchastkovyy-ot-stazhera-do-vedmy/,"4,6"
Ермак. Поход,Игорь Валериев,https://www.litres.ru/igor-valeriev/ermak-pohod/,"4,6"
Маруся. Столичные игры,Галина Дмитриевна Гончарова,https://www.litres.ru/galina-goncharova/marusya-stolichnye-igry/,"4,6"
Безумный Макс. Поручик Империи,Михаил Ланцов,https://www.litres.ru/mihail-lancov/bezumnyy-maks-poruchik-imperii/,"4,3"
Рецепт свадебного пудинга,Галина Осень,https://www.litres.ru/galina-osen-18963656/recept-svadebnogo-pudinga/,"4,2"
Черная ведьма в Академии драконов,Надежда Мамаева,https://www.litres.ru/nadezhda-mamaeva-5241551/chernaya-vedma-v-akademii-drakonov/,"4,7"
Оружие возмездия,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/oruzhie-vozmezdiya/,"4,8"
Шаг через бездну,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/shag-cherez-bezdnu/,"4,7"
Невеста на замену – 2. Трофей для дроу,Алина Углицкая,https://www.litres.ru/alina-uglickaya-15730401/nevesta-na-zamenu-kniga-2/,"4,5"
Зауряд-врач,Анатолий Дроздов,https://www.litres.ru/anatoliy-drozdov/zauryad-vrach/,"4,7"
Имперский граф,Серг Усов,https://www.litres.ru/serg-usov-26586475/imperskiy-graf/,"4,5"
